Name,Album,Artists
Stranglehold,Ted Nugent,Ted Nugent
Here I Go Again,Whitesnake,Whitesnake
Take This Life,Come Clarity,In Flames
Pull Me Under,Images and Words,Dream Theater
Master Of Puppets,Master Of Puppets,Metallica
Still Counting,Guitar Gangsters & Cadillac Blood,Volbeat
War Eternal,War Eternal,Arch Enemy
At War With Reality,At War With Reality,At The Gates
Visions in My Head,Visions in My Head - Single,Obituary
Burnin' For You,Workshop Of The Telescopes: The Best Of Blue Oyster Cult,Blue Öyster Cult
