Name,Album,Artists
Drowning (feat. Kodak Black),The Bigger Artist,"A Boogie Wit da Hoodie, Kodak Black"
Either Way (feat. Joey Bada$$),Either Way (feat. Joey Bada$$),"Snakehips, Anne-Marie, Joey Bada$$"
Pull Up (feat. Lil Uzi Vert),Pull Up (feat. Lil Uzi Vert),"Wiz Khalifa, Lil Uzi Vert"
Royals,Pure Heroine,Lorde
FRIENDS,FRIENDS,"Marshmello, Anne-Marie"
2 Phones,Islah (Deluxe),Kevin Gates
Let Me Explain,Let Me Explain,Bryson Tiller
Faded,Faded,Alan Walker
Dangerous Woman,Dangerous Woman,Ariana Grande
Paris,Memories...Do Not Open,The Chainsmokers
