Name,Album,Artists
Sing Me to Sleep,Sing Me to Sleep,Alan Walker
Slow Motion,Trigga Reloaded,Trey Songz
Ghostface Killers (feat. Travis Scott),Without Warning,"21 Savage, Offset, Metro Boomin, Travis Scott"
Mercy,Illuminate (Deluxe),Shawn Mendes
Clandestino,Clandestino,"Shakira, Maluma"
Question,I met you when I was 18. (the playlist),"Lauv, Travis Mills"
Post to Be (feat. Chris Brown & Jhene Aiko),Sex Playlist,"Omarion, Chris Brown, Jhené Aiko"
lovely (with Khalid),lovely (with Khalid),"Billie Eilish, Khalid"
You Don't Know Me,You Don't Know Me,"Jax Jones, RAYE"
Secret Love Song (feat. Jason Derulo),Get Weird (Deluxe),"Little Mix, Jason Derulo"
