Name,Album,Artists
When My Train Pulls In,Blak and Blu (Deluxe Edition),Gary Clark Jr.
The Last Matador Of Bayonne,Dust Bowl,Joe Bonamassa
Season of the Witch - 2002 Remix w/o Horns,Super Session (with Al Kooper),"Steve Stills, Al Kooper"
Ramblin' Man,Big Fish,"Dickey Betts, Allman Brothers Band"
I'm Ready,Blues Greats: Muddy Waters,Muddy Waters
Bring It On Home To Me,Deuces Wild,"B.B. King, Paul Carrack"
Diddley Bo,Walkin' Man - The Best of Seasick Steve,Seasick Steve
The Only One,Brothers,The Black Keys
All Your Love - Stereo Album Version,Bluesbreakers With Eric Clapton,John Mayall & The Bluesbreakers
Sexual Healing,Songbook,Marvin Gaye
